                                                             External penalty method                                                             
    c_x        c_y        H(c)        r      dir     c_x        c_y         f(c)         n_x         n_y         f(n)         hx          hy      
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7067e-01  9.2248e-01 d-4.8433e-07  6.1031e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2254e-01 d+5.3466e-07  3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2242e-01 d-5.3987e-07        -//- -6.1031e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7070e-01  9.2248e-01 d-1.4453e-06        -//- -3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7076e-01  9.2248e-01 d+2.4217e-07 -3.0515e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2245e-01 d-2.5036e-07 -1.5257e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2251e-01 d+2.6982e-07        -//-  3.0515e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7074e-01  9.2248e-01 d-4.7290e-07        -//-  1.5257e-05 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -3.7071e-01  9.2248e-01 d-1.2109e-07  1.5257e-05        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2250e-01 d+1.2940e-07  7.6287e-06        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  9.2247e-01 d-1.3490e-07        -//- -1.5257e-05 
-3.7073e-01 9.2248e-01 4.1614e+00 1.0000e+01   -           -          -            -           -           -            -           -           - 
       -//-       -//-       -//-       -//-   x -3.7073e-01 9.2248e-01   4.1705e+01 -3.7073e-01  9.2248e-01   4.1705e+01  2.0000e+00  2.0000e+00 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//-  1.6293e+00  9.2248e-01   5.5542e+03        -//-        -//- 
       -//-       -//-       -//-       -//-   x        -//-       -//-         -//- -2.3707e+00  9.2248e-01   5.9767e+03 -2.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01  2.9225e+00   1.0238e+04 -1.0000e+00        -//- 
       -//-       -//-       -//-       -//-   y        -//-       -//-         -//- -3.7073e-01 -1.0775e+00   1.1343e+03        -//- -2.0000e+00 
