                                                             Step splitting method                                                              
   cur_x        cur_y      f(cur)    grad f(cur) x grad f(cur) y    next_x       next_y      f(next)   grad f(next) x grad f(next) y    alpha    
-3.00000e-01 8.00000e-01 3.07293e+00   1.28776e+01  -1.60277e+01 -3.00000e-01  8.00000e-01 3.07293e+00    1.28776e+01   -1.60277e+01 0.00000e+00 
        -//-        -//-        -//-          -//-          -//- -3.80878e-01  9.14567e-01 3.35867e-04           -//-           -//- 9.53674e-07 
        -//-        -//-        -//-          -//-          -//- -3.80885e-01  9.14576e-01 7.62358e-05           -//-           -//- 4.76837e-07 
        -//-        -//-        -//-          -//-          -//- -3.80889e-01  9.14580e-01 5.35805e-05           -//-           -//- 2.38419e-07 
        -//-        -//-        -//-          -//-          -//-         -//-         -//-        -//-   -1.46640e+01    1.81509e+01 5.56335e-06 
-3.80889e-01 9.14580e-01 5.35805e-05  -1.46640e+01   1.81509e+01  1.42831e+01 -1.72363e+01 6.93815e+03           -//-           -//- 1.00000e+00 
        -//-        -//-        -//-          -//-          -//-  6.95112e+00 -8.16087e+00 1.64332e+03           -//-           -//- 5.00000e-01 
        -//-        -//-        -//-          -//-          -//-  3.28511e+00 -3.62314e+00 3.70429e+02           -//-           -//- 2.50000e-01 
        -//-        -//-        -//-          -//-          -//-  1.45211e+00 -1.35428e+00 7.97973e+01           -//-           -//- 1.25000e-01 
        -//-        -//-        -//-          -//-          -//-  5.35612e-01 -2.19850e-01 2.35837e+01           -//-           -//- 6.25000e-02 
        -//-        -//-        -//-          -//-          -//-  7.73618e-02  3.47365e-01 1.27714e+01           -//-           -//- 3.12500e-02 
        -//-        -//-        -//-          -//-          -//- -1.51763e-01  6.30973e-01 7.30611e+00           -//-           -//- 1.56250e-02 
        -//-        -//-        -//-          -//-          -//- -2.66326e-01  7.72776e-01 3.93950e+00           -//-           -//- 7.81250e-03 
        -//-        -//-        -//-          -//-          -//- -3.23607e-01  8.43678e-01 2.04674e+00           -//-           -//- 3.90625e-03 
        -//-        -//-        -//-          -//-          -//- -3.52248e-01  8.79129e-01 1.04319e+00           -//-           -//- 1.95312e-03 
